ORG_ID,WATER_SUPPLIER_NAME,WORKSHEET_NAME,REVIEWED_BY_DWR,REQUIREMENTS_ADDRESSED,WP_WUEDATA_PLAN_ID,YEAR_TYPE,TOTAL_TYPE,TOTAL_VOLUME_2020_AF,TOTAL_VOLUME_2025_AF,TOTAL_VOLUME_2030_AF,TOTAL_VOLUME_2035_AF,TOTAL_VOLUME_2040_AF
13,Adelanto  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2183,Sixth year (optional),Demand totals,,,,,
13,Adelanto  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2183,Sixth year (optional),Supply totals,,,,,
13,Adelanto  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2183,Fifth year (optional),Demand totals,,,,,
13,Adelanto  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2183,Fifth year (optional),Supply totals,,,,,
13,Adelanto  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2183,Fourth year (optional),Demand totals,4637,4956,5381,5829,6195
13,Adelanto  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2183,First year,Supply totals,9300,10444,11581,12640,13750
13,Adelanto  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2183,Third year,Demand totals,4637,4956,5381,5829,6195
13,Adelanto  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2183,Third year,Supply totals,9300,10444,11581,12640,13750
13,Adelanto  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2183,Second year,Demand totals,4637,4956,5381,5829,6195
13,Adelanto  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2183,Second year,Supply totals,9300,10444,11581,12640,13750
13,Adelanto  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2183,First year,Demand totals,4578,4872,5292,5737,6195
13,Adelanto  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2183,Fourth year (optional),Supply totals,9300,10444,11581,12640,13750
23,Alameda County Water District,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,368,Sixth year (optional),Demand totals,,,,,
23,Alameda County Water District,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,368,Sixth year (optional),Supply totals,,,,,
23,Alameda County Water District,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,368,First year,Supply totals,58900,65600,65700,65800,66000
23,Alameda County Water District,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,368,First year,Demand totals,51900,64900,66800,68400,68800
23,Alameda County Water District,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,368,Second year,Supply totals,54500,59000,59800,60500,61200
23,Alameda County Water District,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,368,Second year,Demand totals,52800,61900,63700,64900,65200
23,Alameda County Water District,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,368,Third year,Supply totals,78900,77800,77700,77500,77300
23,Alameda County Water District,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,368,Third year,Demand totals,54200,61700,63400,64600,65200
23,Alameda County Water District,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,368,Fourth year (optional),Supply totals,56700,59600,61500,63400,65300
23,Alameda County Water District,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,368,Fourth year (optional),Demand totals,56200,62300,64000,65100,65700
23,Alameda County Water District,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,368,Fifth year (optional),Supply totals,57600,57900,58100,58200,58400
23,Alameda County Water District,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,368,Fifth year (optional),Demand totals,57600,61600,63000,63200,63300
30,Alhambra  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1025,Fourth year (optional),Supply totals,,,,,
30,Alhambra  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1025,First year,Demand totals,11364,11681,11998,12315,12632
30,Alhambra  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1025,Second year,Supply totals,11493,11813,12134,12455,12776
30,Alhambra  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1025,Second year,Demand totals,11493,11813,12134,12455,12776
30,Alhambra  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1025,Third year,Supply totals,10201,10486,10771,11056,11340
30,Alhambra  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1025,First year,Supply totals,11364,11681,11998,12315,12632
30,Alhambra  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1025,Fourth year (optional),Demand totals,,,,,
30,Alhambra  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1025,Fifth year (optional),Supply totals,,,,,
30,Alhambra  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1025,Fifth year (optional),Demand totals,,,,,
30,Alhambra  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1025,Sixth year (optional),Supply totals,,,,,
30,Alhambra  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1025,Sixth year (optional),Demand totals,,,,,
30,Alhambra  City Of,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1025,Third year,Demand totals,10201,10486,10771,11056,11340
55,Amador Water Agency,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2283,First year,Supply totals,18343,18884,18884,18884,18884
55,Amador Water Agency,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2283,Sixth year (optional),Demand totals,,,,,
55,Amador Water Agency,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2283,First year,Demand totals,10601,11699,12257,12708,13159
55,Amador Water Agency,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2283,Second year,Supply totals,18343,18884,18884,18884,18884
55,Amador Water Agency,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2283,Second year,Demand totals,10601,11699,12257,12708,13159
55,Amador Water Agency,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2283,Third year,Supply totals,18343,18884,18884,18884,18884
55,Amador Water Agency,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2283,Third year,Demand totals,7951,8774,9193,9531,9869
55,Amador Water Agency,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2283,Fourth year (optional),Supply totals,,,,,
55,Amador Water Agency,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2283,Fourth year (optional),Demand totals,,,,,
55,Amador Water Agency,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2283,Fifth year (optional),Supply totals,,,,,
55,Amador Water Agency,Table 7-4 Retail: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,2283,Fifth year (optional),Demand totals,,,,,
