ORG_ID,WATER_SUPPLIER_NAME,WORKSHEET_NAME,REVIEWED_BY_DWR,REQUIREMENTS_ADDRESSED,WP_WUEDATA_PLAN_ID,YEAR_TYPE,TOTAL_TYPE,TOTAL_VOLUME_2020_AF,TOTAL_VOLUME_2025_AF,TOTAL_VOLUME_2030_AF,TOTAL_VOLUME_2035_AF,TOTAL_VOLUME_2040_AF
22,Alameda County Flood Control District  Zone 7,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,981,First year,Demand totals,48000,52100,56000,58300,
22,Alameda County Flood Control District  Zone 7,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,981,Second year,Supply totals,61396,71396,70720,70720,
22,Alameda County Flood Control District  Zone 7,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,981,Second year,Demand totals,48700,53000,56600,58400,
22,Alameda County Flood Control District  Zone 7,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,981,Third year,Supply totals,64626,74626,73950,73950,
22,Alameda County Flood Control District  Zone 7,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,981,Third year,Demand totals,49900,53800,57000,58600,
22,Alameda County Flood Control District  Zone 7,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,981,First year,Supply totals,67626,77626,76950,76950,
22,Alameda County Flood Control District  Zone 7,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,981,Fourth year (optional),Demand totals,,,,,
22,Alameda County Flood Control District  Zone 7,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,981,Fifth year (optional),Supply totals,,,,,
22,Alameda County Flood Control District  Zone 7,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,981,Fifth year (optional),Demand totals,,,,,
22,Alameda County Flood Control District  Zone 7,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,981,Sixth year (optional),Supply totals,,,,,
22,Alameda County Flood Control District  Zone 7,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,981,Sixth year (optional),Demand totals,,,,,
22,Alameda County Flood Control District  Zone 7,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,981,Fourth year (optional),Supply totals,,,,,
79,Antelope Valley - East Kern Water Agency,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,419,First year,Supply totals,56950,56950,56950,56950,
79,Antelope Valley - East Kern Water Agency,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,419,First year,Demand totals,83680,85630,85940,86260,
79,Antelope Valley - East Kern Water Agency,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,419,Second year,Supply totals,62750,62750,62750,62750,
79,Antelope Valley - East Kern Water Agency,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,419,Second year,Demand totals,83680,85630,85940,86260,
79,Antelope Valley - East Kern Water Agency,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,419,Third year,Supply totals,74350,74350,74350,74350,
79,Antelope Valley - East Kern Water Agency,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,419,Third year,Demand totals,83680,85630,85940,86260,
79,Antelope Valley - East Kern Water Agency,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,419,Fourth year (optional),Supply totals,,,,,
79,Antelope Valley - East Kern Water Agency,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,419,Fourth year (optional),Demand totals,,,,,
79,Antelope Valley - East Kern Water Agency,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,419,Fifth year (optional),Supply totals,,,,,
79,Antelope Valley - East Kern Water Agency,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,419,Fifth year (optional),Demand totals,,,,,
79,Antelope Valley - East Kern Water Agency,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,419,Sixth year (optional),Demand totals,,,,,
79,Antelope Valley - East Kern Water Agency,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,419,Sixth year (optional),Supply totals,,,,,
123,Bakersfield  City Of,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1031,Sixth year (optional),Demand totals,,,,,
123,Bakersfield  City Of,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1031,Fifth year (optional),Supply totals,,,,,
123,Bakersfield  City Of,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1031,Sixth year (optional),Supply totals,,,,,
123,Bakersfield  City Of,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1031,Fifth year (optional),Demand totals,,,,,
123,Bakersfield  City Of,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1031,Fourth year (optional),Demand totals,,,,,
123,Bakersfield  City Of,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1031,Fourth year (optional),Supply totals,,,,,
123,Bakersfield  City Of,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1031,Third year,Supply totals,17586,17586,17586,17586,17586
123,Bakersfield  City Of,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1031,Second year,Demand totals,26265,26265,26265,26265,26265
123,Bakersfield  City Of,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1031,Second year,Supply totals,26265,26265,26265,26265,26265
123,Bakersfield  City Of,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1031,First year,Demand totals,33656,33656,33656,33656,33656
123,Bakersfield  City Of,Table 7-4 Wholesale: Multiple Dry Years Supply and Demand Comparison,Yes,Yes,1031,First year,Supply totals,33656,33656,33656,33656,33656
