ORG_ID,WATER_SUPPLIER_NAME,WORKSHEET_NAME,REVIEWED_BY_DWR,REQUIREMENTS_ADDRESSED,TOTAL_TYPE,TOTAL_VOLUME_2020_AF,TOTAL_VOLUME_2025_AF,TOTAL_VOLUME_2030_AF,TOTAL_VOLUME_2035_AF,TOTAL_VOLUME_2040_AF
13,Adelanto  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,4578,4871,5292,5738,6196
13,Adelanto  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,9300,10444,11581,12640,13750
23,Alameda County Water District,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,66400,70700,72500,73000,73400
23,Alameda County Water District,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,77200,76900,76600,76300,76000
30,Alhambra  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,12913,13273,13634,13995,14354
30,Alhambra  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,12913,13273,13634,13995,14354
55,Amador Water Agency,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,18343,18884,18884,18884,18884
55,Amador Water Agency,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,10601,11699,12257,12708,13159
57,American Canyon  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,7560,8265,8470,8981,8981
57,American Canyon  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,4412,4768,5249,6037,6328
64,Anaheim  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,62050,66608,67065,67047,67143
64,Anaheim  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,62050,66608,67065,67047,67143
66,Anderson  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,2667,2667,2667,2667,0
66,Anderson  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,2410,2511,2594,2667,0
82,Antioch  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,21129.29285,22273.98802,22976.76333,23734.77863,24529.62059
82,Antioch  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,21129.29285,22273.98802,22976.76333,23734.77863,24529.62059
87,Apple Valley Ranchos Water Company,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,16895,18197,19580,20940,22128
87,Apple Valley Ranchos Water Company,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,16895,18197.01,19580,20940,22128
93,Arcadia  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,15119,15507,15904,16312,16730
93,Arcadia  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,15119,15507,15904,16312,16730
94,Arcata  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,3423.343312,4428.270477,4518.515952,4615.062374,2016.259317
94,Arcata  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,5382.829289,6217.566784,6217.566784,6217.566784,0
99,Arroyo Grande  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,3813,3813,3813,3813,0
99,Arroyo Grande  City Of,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,2718,2796,2893,2934,0
102,Arvin Community Service District,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,3559.909906,4112.309719,4756.776168,5523.99813,6413.975607
102,Arvin Community Service District,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,3559.909906,4112.309719,4756.776168,5523.99813,6413.975607
107,Atascadero Mutual Water Company,Table 7-2 Retail: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,6802.18992,7125.957588,7334.641962,7580.15299,7828.732905
