ORG_ID,WATER_SUPPLIER_NAME,WORKSHEET_NAME,REVIEWED_BY_DWR,REQUIREMENTS_ADDRESSED,TOTAL_TYPE,TOTAL_VOLUME_2020_AF,TOTAL_VOLUME_2025_AF,TOTAL_VOLUME_2030_AF,TOTAL_VOLUME_2035_AF,TOTAL_VOLUME_2040_AF
22,Alameda County Flood Control District  Zone 7,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,72100,77300,89500,92800,0
22,Alameda County Flood Control District  Zone 7,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,78645,88645,99500,99500,0
79,Antelope Valley - East Kern Water Agency,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,83680,85630,85940,86260,0
79,Antelope Valley - East Kern Water Agency,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,89010,89010,89010,89010,0
123,Bakersfield  City Of,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,135000,135000,135000,135000,135000
123,Bakersfield  City Of,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,135000,135000,135000,135000,135000
433,Calleguas Municipal Water District,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,123695,126959,126764,125973,126614
433,Calleguas Municipal Water District,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,98568,96437,99076,101600,103893
495,Casitas Municipal Water District,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,20840,20840,20840,20840,20840
495,Casitas Municipal Water District,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,17200,17200,17500,17500,17500
496,Castaic Lake Water Agency,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,72422,76713,78984,80761,80761
496,Castaic Lake Water Agency,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,32125,35825,41025,44325,46725
510,Central Basin Municipal Water District,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,80704,81948,83193,84437,85681
510,Central Basin Municipal Water District,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,259583,258605,258995,258635,259679
514,Central Coast Water Authority,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,26671,26482,26293,26104,25915
514,Central Coast Water Authority,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,26671,26482,26293,26104,25915
546,Chino Basin Desalter Authority,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Supply totals,40000,40000,40000,40000,40000
546,Chino Basin Desalter Authority,Table 7-2 Wholesale: Normal Year Supply and Demand Comparison,Yes,Yes,Demand totals,40000,40000,40000,40000,40000
